num,STATISTIČNA REGIJA,LETO,KAZALNIK
17.1,SLOVENIJA,2013,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.7,SLOVENIJA,2013,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15.2,SLOVENIJA,2013,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
82.9,SLOVENIJA,2013,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.3,SLOVENIJA,2013,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
84.8,SLOVENIJA,2013,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2014,Indeks delovne migracije
100,SLOVENIJA,2014,Indeks delovne migracije za moške
100,SLOVENIJA,2014,Indeks delovne migracije za ženske
17.5,SLOVENIJA,2014,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
19.1,SLOVENIJA,2014,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15.7,SLOVENIJA,2014,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
82.5,SLOVENIJA,2014,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
80.9,SLOVENIJA,2014,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
84.3,SLOVENIJA,2014,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2015,Indeks delovne migracije
100,SLOVENIJA,2015,Indeks delovne migracije za moške
100,SLOVENIJA,2015,Indeks delovne migracije za ženske
18.4,SLOVENIJA,2015,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
19.9,SLOVENIJA,2015,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
16.5,SLOVENIJA,2015,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
81.6,SLOVENIJA,2015,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
80.1,SLOVENIJA,2015,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
83.5,SLOVENIJA,2015,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2016,Indeks delovne migracije
100,SLOVENIJA,2016,Indeks delovne migracije za moške
100,SLOVENIJA,2016,Indeks delovne migracije za ženske
18.8,SLOVENIJA,2016,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20.3,SLOVENIJA,2016,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
17,SLOVENIJA,2016,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
81.2,SLOVENIJA,2016,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
79.7,SLOVENIJA,2016,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
83,SLOVENIJA,2016,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2017,Indeks delovne migracije
100,SLOVENIJA,2017,Indeks delovne migracije za moške
100,SLOVENIJA,2017,Indeks delovne migracije za ženske
19.2,SLOVENIJA,2017,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20.6,SLOVENIJA,2017,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
17.5,SLOVENIJA,2017,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
80.8,SLOVENIJA,2017,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
79.4,SLOVENIJA,2017,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
82.5,SLOVENIJA,2017,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2018,Indeks delovne migracije
100,SLOVENIJA,2018,Indeks delovne migracije za moške
100,SLOVENIJA,2018,Indeks delovne migracije za ženske
19.6,SLOVENIJA,2018,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
21.1,SLOVENIJA,2018,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
17.7,SLOVENIJA,2018,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
80.4,SLOVENIJA,2018,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
78.9,SLOVENIJA,2018,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
82.3,SLOVENIJA,2018,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2019,Indeks delovne migracije
100,SLOVENIJA,2019,Indeks delovne migracije za moške
100,SLOVENIJA,2019,Indeks delovne migracije za ženske
19.8,SLOVENIJA,2019,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
21.3,SLOVENIJA,2019,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
18,SLOVENIJA,2019,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
80.2,SLOVENIJA,2019,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
78.7,SLOVENIJA,2019,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
82,SLOVENIJA,2019,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2020,Indeks delovne migracije
100,SLOVENIJA,2020,Indeks delovne migracije za moške
100,SLOVENIJA,2020,Indeks delovne migracije za ženske
21.1,SLOVENIJA,2020,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
22.8,SLOVENIJA,2020,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
19.1,SLOVENIJA,2020,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
78.9,SLOVENIJA,2020,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
77.2,SLOVENIJA,2020,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
80.9,SLOVENIJA,2020,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.8,Pomurska,2009,Indeks delovne migracije
88.7,Pomurska,2009,Indeks delovne migracije za moške
91.1,Pomurska,2009,Indeks delovne migracije za ženske
16.1,Pomurska,2009,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.1,Pomurska,2009,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
13.4,Pomurska,2009,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.9,Pomurska,2009,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.9,Pomurska,2009,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
86.6,Pomurska,2009,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.4,Pomurska,2010,Indeks delovne migracije
88.5,Pomurska,2010,Indeks delovne migracije za moške
90.6,Pomurska,2010,Indeks delovne migracije za ženske
16.3,Pomurska,2010,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.1,Pomurska,2010,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
14.1,Pomurska,2010,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.7,Pomurska,2010,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.9,Pomurska,2010,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
85.9,Pomurska,2010,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.9,Pomurska,2011,Indeks delovne migracije
89,Pomurska,2011,Indeks delovne migracije za moške
91,Pomurska,2011,Indeks delovne migracije za ženske
16.5,Pomurska,2011,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.5,Pomurska,2011,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
14.1,Pomurska,2011,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.5,Pomurska,2011,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.5,Pomurska,2011,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
85.9,Pomurska,2011,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
90.4,Pomurska,2012,Indeks delovne migracije
89.7,Pomurska,2012,Indeks delovne migracije za moške
91.2,Pomurska,2012,Indeks delovne migracije za ženske
16.5,Pomurska,2012,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.7,Pomurska,2012,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
14,Pomurska,2012,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.5,Pomurska,2012,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.3,Pomurska,2012,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
86,Pomurska,2012,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
90.2,Pomurska,2013,Indeks delovne migracije
90.1,Pomurska,2013,Indeks delovne migracije za moške
90.4,Pomurska,2013,Indeks delovne migracije za ženske
17.2,Pomurska,2013,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
19.1,Pomurska,2013,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15,Pomurska,2013,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
82.8,Pomurska,2013,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
80.9,Pomurska,2013,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
85,Pomurska,2013,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.9,Pomurska,2014,Indeks delovne migracije
89.4,Pomurska,2014,Indeks delovne migracije za moške
90.6,Pomurska,2014,Indeks delovne migracije za ženske
17.8,Pomurska,2014,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20,Pomurska,2014,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15.2,Pomurska,2014,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
82.2,Pomurska,2014,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
80,Pomurska,2014,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
84.8,Pomurska,2014,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.4,Pomurska,2015,Indeks delovne migracije
89.5,Pomurska,2015,Indeks delovne migracije za moške
89.2,Pomurska,2015,Indeks delovne migracije za ženske
18.5,Pomurska,2015,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20,Pomurska,2015,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
16.6,Pomurska,2015,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
81.5,Pomurska,2015,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
80,Pomurska,2015,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
83.4,Pomurska,2015,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.3,Pomurska,2016,Indeks delovne migracije
89.4,Pomurska,2016,Indeks delovne migracije za moške
89.2,Pomurska,2016,Indeks delovne migracije za ženske
18.6,Pomurska,2016,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20.2,Pomurska,2016,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
16.8,Pomurska,2016,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
81.4,Pomurska,2016,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
79.8,Pomurska,2016,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
83.2,Pomurska,2016,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.3,Pomurska,2017,Indeks delovne migracije
89.6,Pomurska,2017,Indeks delovne migracije za moške
88.9,Pomurska,2017,Indeks delovne migracije za ženske
19.1,Pomurska,2017,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20.7,Pomurska,2017,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
17.4,Pomurska,2017,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
80.9,Pomurska,2017,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
79.3,Pomurska,2017,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
82.6,Pomurska,2017,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
89.5,Pomurska,2018,Indeks delovne migracije
90.2,Pomurska,2018,Indeks delovne migracije za moške
88.7,Pomurska,2018,Indeks delovne migracije za ženske
19.6,Pomurska,2018,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
21.1,Pomurska,2018,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
17.9,Pomurska,2018,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
80.4,Pomurska,2018,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
78.9,Pomurska,2018,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
82.1,Pomurska,2018,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
91,Pomurska,2019,Indeks delovne migracije
92.4,Pomurska,2019,Indeks delovne migracije za moške
89.4,Pomurska,2019,Indeks delovne migracije za ženske
19.6,Pomurska,2019,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
20.9,Pomurska,2019,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
18,Pomurska,2019,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
80.4,Pomurska,2019,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
79.1,Pomurska,2019,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
82,Pomurska,2019,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
90.6,Pomurska,2020,Indeks delovne migracije
91.9,Pomurska,2020,Indeks delovne migracije za moške
89.2,Pomurska,2020,Indeks delovne migracije za ženske
20.6,Pomurska,2020,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
22.1,Pomurska,2020,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
19,Pomurska,2020,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
79.4,Pomurska,2020,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
77.9,Pomurska,2020,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
81,Pomurska,2020,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
97.3,Podravska,2009,Indeks delovne migracije
96,Podravska,2009,Indeks delovne migracije za moške
98.9,Podravska,2009,Indeks delovne migracije za ženske
12.3,Podravska,2009,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
14.3,Podravska,2009,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
9.8,Podravska,2009,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
87.7,Podravska,2009,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
85.7,Podravska,2009,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
90.2,Podravska,2009,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
98.1,Podravska,2010,Indeks delovne migracije
97.1,Podravska,2010,Indeks delovne migracije za moške
99.2,Podravska,2010,Indeks delovne migracije za ženske
12.4,Podravska,2010,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
14.2,Podravska,2010,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
10.2,Podravska,2010,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
87.6,Podravska,2010,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
85.8,Podravska,2010,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
89.8,Podravska,2010,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
97.1,Podravska,2011,Indeks delovne migracije
95,Podravska,2011,Indeks delovne migracije za moške
99.6,Podravska,2011,Indeks delovne migracije za ženske
13.8,Podravska,2011,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
16.4,Podravska,2011,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
10.8,Podravska,2011,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
86.2,Podravska,2011,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
83.6,Podravska,2011,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
89.2,Podravska,2011,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.4,Podravska,2012,Indeks delovne migracije
94.3,Podravska,2012,Indeks delovne migracije za moške
98.7,Podravska,2012,Indeks delovne migracije za ženske
14.2,Podravska,2012,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
16.7,Podravska,2012,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
11.2,Podravska,2012,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
85.8,Podravska,2012,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
83.3,Podravska,2012,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
88.8,Podravska,2012,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.1,Podravska,2013,Indeks delovne migracije
94.1,Podravska,2013,Indeks delovne migracije za moške
98.5,Podravska,2013,Indeks delovne migracije za ženske
14.5,Podravska,2013,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
17.1,Podravska,2013,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
11.5,Podravska,2013,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
85.5,Podravska,2013,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82.9,Podravska,2013,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
88.5,Podravska,2013,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.3,Podravska,2014,Indeks delovne migracije
94.5,Podravska,2014,Indeks delovne migracije za moške
98.4,Podravska,2014,Indeks delovne migracije za ženske
14.6,Podravska,2014,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
16.9,Podravska,2014,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
11.8,Podravska,2014,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
85.4,Podravska,2014,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
83.1,Podravska,2014,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
88.2,Podravska,2014,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.5,Podravska,2015,Indeks delovne migracije
94.5,Podravska,2015,Indeks delovne migracije za moške
98.9,Podravska,2015,Indeks delovne migracije za ženske
15,Podravska,2015,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
17.5,Podravska,2015,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
12.1,Podravska,2015,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
85,Podravska,2015,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82.5,Podravska,2015,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
87.9,Podravska,2015,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.8,Podravska,2016,Indeks delovne migracije
94.8,Podravska,2016,Indeks delovne migracije za moške
99.1,Podravska,2016,Indeks delovne migracije za ženske
15.4,Podravska,2016,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18,Podravska,2016,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
12.4,Podravska,2016,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
84.6,Podravska,2016,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82,Podravska,2016,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
87.6,Podravska,2016,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.5,Podravska,2017,Indeks delovne migracije
95,Podravska,2017,Indeks delovne migracije za moške
98.2,Podravska,2017,Indeks delovne migracije za ženske
15.6,Podravska,2017,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
17.7,Podravska,2017,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
13.1,Podravska,2017,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
84.4,Podravska,2017,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82.3,Podravska,2017,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
86.9,Podravska,2017,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.7,Podravska,2018,Indeks delovne migracije
95.8,Podravska,2018,Indeks delovne migracije za moške
97.7,Podravska,2018,Indeks delovne migracije za ženske
16,Podravska,2018,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18,Podravska,2018,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
13.6,Podravska,2018,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
84,Podravska,2018,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82,Podravska,2018,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
86.4,Podravska,2018,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.9,Podravska,2019,Indeks delovne migracije
96.4,Podravska,2019,Indeks delovne migracije za moške
97.4,Podravska,2019,Indeks delovne migracije za ženske
16.2,Podravska,2019,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18,Podravska,2019,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
13.9,Podravska,2019,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.8,Podravska,2019,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82,Podravska,2019,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
86.1,Podravska,2019,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
96.8,Podravska,2020,Indeks delovne migracije
97.1,Podravska,2020,Indeks delovne migracije za moške
96.4,Podravska,2020,Indeks delovne migracije za ženske
17,Podravska,2020,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.6,Podravska,2020,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15.1,Podravska,2020,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83,Podravska,2020,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.4,Podravska,2020,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
84.9,Podravska,2020,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
87.6,Koroška,2009,Indeks delovne migracije
85.8,Koroška,2009,Indeks delovne migracije za moške
89.8,Koroška,2009,Indeks delovne migracije za ženske
17.4,Koroška,2009,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
19,Koroška,2009,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15.4,Koroška,2009,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
82.6,Koroška,2009,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
